cm_comp_name:, cm_comp_rid:34730, cm_out:0, cm_netto:0, cm_brutto:1.8, cm_rid:51982, cm_date:0
cm_comp_name:, cm_comp_rid:2192, cm_out:1, cm_netto:1, cm_brutto:1, cm_rid:51982, cm_date:1
cm_comp_name:, cm_comp_rid:1379, cm_out:0.2, cm_netto:0.2, cm_brutto:0.2, cm_rid:51982, cm_date:1
cm_comp_name:, cm_comp_rid:1368, cm_out:0.02, cm_netto:0.02, cm_brutto:0.02, cm_rid:51982, cm_date:1
cm_comp_name:, cm_comp_rid:1388, cm_out:0.008, cm_netto:0.008, cm_brutto:0.008, cm_rid:51982, cm_date:1
cm_comp_name:, cm_comp_rid:19833, cm_out:0.01, cm_netto:0.01, cm_brutto:0.01, cm_rid:51982, cm_date:1
cm_comp_name:, cm_comp_rid:19792, cm_out:0.7, cm_netto:0.7, cm_brutto:0.7, cm_rid:51982, cm_date:1
cm_comp_name:, cm_comp_rid:1841, cm_out:0.18, cm_netto:0.18, cm_brutto:0.18, cm_rid:51982, cm_date:1
cm_comp_name:, cm_comp_rid:19790, cm_out:0.36, cm_netto:0.36, cm_brutto:0.36, cm_rid:51982, cm_date:1
cm_comp_name:, cm_comp_rid:19851, cm_out:1, cm_netto:1, cm_brutto:1, cm_rid:51982, cm_date:1
cm_comp_name:, cm_comp_rid:19267, cm_out:0.03, cm_netto:0.03, cm_brutto:0.03, cm_rid:51982, cm_date:1
cm_comp_name:, cm_comp_rid:1474, cm_out:0.004, cm_netto:0.004, cm_brutto:0.004, cm_rid:51982, cm_date:1
cm_comp_name:, cm_comp_rid:33720, cm_out:0, cm_netto:0, cm_brutto:1.2, cm_rid:49073, cm_date:0
cm_comp_name:, cm_comp_rid:21637, cm_out:1.2, cm_netto:1.2, cm_brutto:1.2, cm_rid:49073, cm_date:1
cm_comp_name:, cm_comp_rid:1368, cm_out:0.01, cm_netto:0.01, cm_brutto:0.01, cm_rid:49073, cm_date:1
cm_comp_name:, cm_comp_rid:1388, cm_out:0.002, cm_netto:0.002, cm_brutto:0.002, cm_rid:49073, cm_date:1
cm_comp_name:, cm_comp_rid:21948, cm_out:0.08, cm_netto:0.08, cm_brutto:0.08, cm_rid:49073, cm_date:1
cm_comp_name:, cm_comp_rid:1533, cm_out:0.01, cm_netto:0.01, cm_brutto:0.01, cm_rid:49073, cm_date:1
cm_comp_name:, cm_comp_rid:32788, cm_out:0, cm_netto:0, cm_brutto:1.2, cm_rid:47501, cm_date:0
